epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
170,498.013,0.43975,0.31734,0.81829,0.94505,1,0.995,0.83536,0.67665,0.44531,0.99223,0.000632047,0.000632047,0.000632047
171,501.014,0.45289,0.30805,0.82671,0.97693,0.9178,0.99409,0.86581,0.62205,0.47777,0.96324,0.000627331,0.000627331,0.000627331
172,503.938,0.43427,0.30323,0.8219,0.89392,0.99199,0.99207,0.88067,0.5529,0.47405,0.9024,0.000622615,0.000622615,0.000622615
173,506.93,0.41603,0.29257,0.81722,0.96767,1,0.995,0.87657,0.56015,0.40691,0.90964,0.0006179,0.0006179,0.0006179
174,509.958,0.42679,0.29213,0.81155,0.96764,0.95419,0.995,0.8885,0.57033,0.40829,0.92024,0.000613184,0.000613184,0.000613184
175,513.036,0.41996,0.29245,0.80977,0.93661,0.95238,0.99295,0.86766,0.57021,0.455,0.91956,0.000608468,0.000608468,0.000608468
176,515.981,0.40983,0.2898,0.82438,0.92479,0.95354,0.99295,0.87367,0.55158,0.44757,0.92852,0.000603752,0.000603752,0.000603752
177,519.091,0.41281,0.2892,0.81117,0.94223,0.96368,0.98324,0.8431,0.57701,0.4037,0.94414,0.000599037,0.000599037,0.000599037
178,522.255,0.42163,0.29117,0.8166,0.9153,0.95238,0.99295,0.837,0.60381,0.4455,0.96935,0.000594321,0.000594321,0.000594321
179,525.278,0.41711,0.29472,0.82001,0.91675,0.95339,0.97436,0.82622,0.61431,0.44673,0.98289,0.000589605,0.000589605,0.000589605
180,528.234,0.42516,0.30026,0.82444,0.92309,0.95343,0.97977,0.83567,0.63894,0.49373,0.99327,0.00058489,0.00058489,0.00058489
